id,nome,categoria,observacoes,sdf_original,sdf_novo_path
726,AKC_14786419.2022.2137797,NATURAL,EMODINA,706.sdf,sdfs/726.sdf
727,AKC_j.biopha.2022.114012,NATURAL,Big,707.sdf,sdfs/727.sdf
728,AKC_acsinfecdis.2c00562,NATURAL,Muito bom para screening,708.sdf,sdfs/728.sdf
729,AKC_antibiotics11121712,NATURAL,OK,709.sdf,sdfs/729.sdf
730,AKC_tropicalmed7120403,SYNTHETIC,OK,710.sdf,sdfs/730.sdf
731,AKC_14756366.2022.2150763,SYNTHETIC,Muito bom para screening,711.sdf,sdfs/731.sdf
732,AKC_14756366.2022.2150763,SYNTHETIC,,712.sdf,sdfs/732.sdf
733,AKC_/jac/dkac395,SYNTHETIC,Muito bom para screening,713.sdf,sdfs/733.sdf
734,AKC_acsomega.2c06455,SYNTHETIC,Muito bom para screening,714.sdf,sdfs/734.sdf
735,AKC_slct.202203852,NATURAL,OK,715.sdf,sdfs/735.sdf
736,AKC_j.ejmech.2022.114996,SYNTHETIC,OK,716.sdf,sdfs/736.sdf
737,AKC_s00044-022-02994-9,SYNTHETIC,OK,717.sdf,sdfs/737.sdf
738,AKC_j.bmc.2022.117136,SYNTHETIC,OK,718.sdf,sdfs/738.sdf
739,AKC_s11030-022-10569-4,SYNTHETIC,OK,719.sdf,sdfs/739.sdf
740,AKC_j.ejmech.2022.115049,SYNTHETIC,Muito bom para screening,720.sdf,sdfs/740.sdf
741,AKC_j.ejmech.2022.115049,SYNTHETIC,Muito bom para screening,721.sdf,sdfs/741.sdf
742,AKC_fcimb.2022.974910,NATURAL,OK,722.sdf,sdfs/742.sdf
743,AKC_biomedicines11010219,SYNTHETIC,OK,723.sdf,sdfs/743.sdf
744,AKC_M1573,SYNTHETIC,Muito bom para screening,724.sdf,sdfs/744.sdf
745,AKC_j.bjid.2023.102743,NATURAL,OK,725.sdf,sdfs/745.sdf
746,AKC_j.ejmech.2023.115223,SYNTHETIC,OK,726.sdf,sdfs/746.sdf
747,AKC_j.ejmech.2023.115223,SYNTHETIC,Muito bom para screening,727.sdf,sdfs/747.sdf
748,AKC_j.ejmech.2022.114959,SYNTHETIC,OK,728.sdf,sdfs/748.sdf
749,AKC_pj.2023.15.11,DRUG,OK,729.sdf,sdfs/749.sdf
750,AKC_S0223523423002222,SYNTHETIC,Muito bom para screening,730.sdf,sdfs/750.sdf
751,AKC_j.exppara.2023.108498,SYNTHETIC,Muito bom para screening,731.sdf,sdfs/751.sdf
752,AKC_acs.jmedchem.2c01932,SYNTHETIC,Muito bom para screening,732.sdf,sdfs/752.sdf
753,AKC_j.ejmech.2023.115310,SYNTHETIC,OK,733_1.sdf,sdfs/753.sdf
754,AKC_j.ejmech.2023.115310,SYNTHETIC,OK,733_2.sdf,sdfs/754.sdf
755,AKC_D2MD00464J,SYNTHETIC,Estrutura Incerta,734.sdf,sdfs/755.sdf
756,AKC_j.ejmech.2023.115333,SYNTHETIC,Muito bom para screening,735.sdf,sdfs/756.sdf
757,AKC_j.fitote.2023.105499,NATURAL,OK,736.sdf,sdfs/757.sdf
758,AKC_biom13040637,SYNTHETIC,Muito bom para screening,737.sdf,sdfs/758.sdf
759,AKC_biom13040637,SYNTHETIC,Muito bom para screening,738.sdf,sdfs/759.sdf
760,AKC_2208-2360,DRUG,OK,739.sdf,sdfs/760.sdf
761,AKC_2208-2360,DRUG,OK,740.sdf,sdfs/761.sdf
762,AKC_j.rechem.2023.100943,SYNTHETIC,OK,741.sdf,sdfs/762.sdf
763,AKC_acsinfecdis.3c00090,SYNTHETIC,OK,742.sdf,sdfs/763.sdf
764,AKC_j.ejmech.2023.115451,SYNTHETIC,Muito bom para screening,743.sdf,sdfs/764.sdf
765,AKC_j.ejmech.2023.115451,SYNTHETIC,Muito bom para screening,744.sdf,sdfs/765.sdf
766,AKC_j.ejmech.2023.115451,SYNTHETIC,Muito bom para screening,745.sdf,sdfs/766.sdf
767,AKC_j.bioorg.2023.106593,SYNTHETIC,Muito bom para screening,746.sdf,sdfs/767.sdf
